source_key,source_name,source_family,source_category,jurisdiction,current_status,target_status,current_table_or_view,target_table_or_view,workflow_command,github_actions_command_available,source_discovery_method,ingestion_method,storage_method,enrichment_method,site_linking_method,evidence_method,signal_method,freshness_method,audit_view_or_audit_command,tests_present,known_blocker,next_action,priority,owner_layer
culverts_spatialhub,Culverts - Scotland,culverts,constraints,Scotland,live_partial,live_complete,public.constraint_source_features,public.constraint_source_features,ingest-culverts,true,manifest_or_endpoint,spatialhub_wfs,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,SpatialHub sh_clvt layer sh_date_up,see_live_view,false,,Run constraint-measurement-proof-title-spend-source-family with constraint_measure_source_family=culverts; then audit constraint measurements and source completion matrix.,P1,public_legacy_compatibility
conservation_areas_spatialhub,Conservation Areas - Scotland,conservation_areas,constraints,Scotland,live_partial,live_complete,public.constraint_source_features,public.constraint_source_features,ingest-conservation-areas,true,manifest_or_endpoint,spatialhub_wfs,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,SpatialHub sh_coar layer sh_date_up,see_live_view,false,,Run constraint-measurement-proof-title-spend-source-family with constraint_measure_source_family=conservation_areas; then audit constraint measurements and source completion matrix.,P3,public_legacy_compatibility
green_belt_spatialhub,Green Belt - Scotland,greenbelt,constraints,Scotland,live_partial,live_complete,public.constraint_source_features,public.constraint_source_features,ingest-greenbelt,true,manifest_or_endpoint,spatialhub_static_or_wfs,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,SpatialHub sh_grnblt layer sh_date_up,see_live_view,false,,Run constraint-measurement-proof-title-spend-source-family with constraint_measure_source_family=greenbelt; then audit constraint measurements and source completion matrix.,P1,public_legacy_compatibility
local_authority_boundaries_spatialhub,Local Authority Boundaries - Scotland,local_authority_boundaries,location,Scotland,manual_only,manual_only,public.authority_aoi,public.authority_aoi,,false,manifest_or_endpoint,existing_boundary_load,public.authority_aoi,see_live_view,see_live_view,see_live_view,see_live_view,Static zip modified 2026-03-01 plus load_boundaries run,see_live_view,false,,Prove lifecycle before promotion.,P3,public_legacy_compatibility
local_landscape_areas_spatialhub,Local Landscape Areas - Scotland,local_landscape_areas,constraints,Scotland,manual_only,manual_only,public.constraint_source_features,public.constraint_source_features,,false,manifest_or_endpoint,static_spatial_snapshot,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,not_documented,see_live_view,false,,Prove lifecycle before promotion.,P3,public_legacy_compatibility
local_nature_spatialhub,Local Nature Reserves and Conservation Sites - Scotland,local_nature,constraints,Scotland,manual_only,manual_only,public.constraint_source_features,public.constraint_source_features,,false,manifest_or_endpoint,static_spatial_snapshot,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,not_documented,see_live_view,false,,Prove lifecycle before promotion.,P3,public_legacy_compatibility
forestry_woodland_spatialhub,Forestry and Woodland Strategy - Scotland,forestry_woodland,constraints,Scotland,manual_only,manual_only,public.constraint_source_features,public.constraint_source_features,,false,manifest_or_endpoint,static_spatial_snapshot,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,not_documented,see_live_view,false,,Prove lifecycle before promotion.,P3,public_legacy_compatibility
sgn_asset_list,SGN Asset List,sgn_assets,utilities,Scotland,manual_only,manual_only,landintel.source_estate_registry,landintel.source_estate_registry,,false,manifest_or_endpoint,static_catalogue,landintel.source_estate_registry,see_live_view,see_live_view,see_live_view,see_live_view,not_documented,see_live_view,false,,Prove lifecycle before promotion.,P3,landintel
council_asset_register_spatialhub,Council Asset Register - Scotland,council_asset_register,ownership_control,Scotland,manual_only,manual_only,landintel.site_signals,landintel.site_signals,,false,manifest_or_endpoint,static_spatial_snapshot,landintel.site_signals,see_live_view,see_live_view,see_live_view,see_live_view,not_documented,see_live_view,false,,Prove lifecycle before promotion.,P3,landintel
planning_decision_engine,Planning decision and event engine,planning_decisions,planning_intelligence,Scotland,live_partial,live_complete,landintel.planning_decision_facts,landintel.planning_decision_facts,refresh-planning-decisions,true,manifest_or_endpoint,derived_from_live_planning_application_records,landintel.planning_decision_facts,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,false,Planning decisions are evidence context and do not predict future consent.,"Refresh approved, refused, withdrawn and live decision facts from planning records.",P0,landintel
site_assessment_refresh,Site assessment refresh engine,site_assessment,review_outputs,Scotland,live_partial,live_complete,landintel.site_assessments,landintel.site_assessments,refresh-site-assessments,true,manifest_or_endpoint,derived_from_proven_site_evidence,landintel.site_assessments,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,false,Assessment outputs support human review and do not make acquisition decisions.,"Refresh review tier, missing evidence and next action from live evidence.",P3,landintel
prove_it_conviction_layer,LandIntel Prove It conviction layer,site_conviction,review_outputs,Scotland,live_partial,live_complete,landintel.site_prove_it_assessments,landintel.site_prove_it_assessments,refresh-site-prove-it-assessments,true,manifest_or_endpoint,derived_from_proven_site_evidence,landintel.site_prove_it_assessments,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,true,"Conviction outputs allocate LDN attention and title spend; they do not prove legal ownership, planning certainty, engineering certainty or buyer demand.","Refresh claim, proof, interpretation, risk, gap, action and verdict from current live evidence.",P1,landintel
ldn_candidate_screen,LDN private/no-builder candidate screen,site_conviction,review_outputs,Scotland,live_partial,live_complete,landintel.site_ldn_candidate_screen,landintel.site_ldn_candidate_screen,refresh-ldn-candidate-screen,true,manifest_or_endpoint,derived_from_registers_planning_constraints_and_title_readiness,landintel.site_ldn_candidate_screen,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,true,This screen flags private/no-builder control fit and blocker signals; it does not confirm legal ownership before title review.,"Refresh LDN candidate screen from HLA, ELA, VDL, LDP, settlement, planning, constraint and title-readiness evidence.",P1,landintel
dpea_planning_appeals,Scottish Government DPEA planning appeals,planning_appeals,planning_intelligence,Scotland,blocked,live_complete,landintel.planning_appeal_records,landintel.planning_appeal_records,ingest-planning-appeals,true,manifest_or_endpoint,register_then_stable_feed_or_document_adapter,landintel.planning_appeal_records,see_live_view,see_live_view,see_live_view,see_live_view,weekly,see_live_view,false,Stable machine-readable appeal feed has not yet been proven.,Confirm DPEA feed or controlled document adapter before ingest.,P2,landintel
local_review_body_decisions,Local Review Body decisions,planning_appeals,planning_intelligence,Scotland,blocked,live_complete,landintel.planning_appeal_records,landintel.planning_appeal_records,ingest-planning-appeals,true,manifest_or_endpoint,council_portal_adapter_required,landintel.planning_appeal_records,see_live_view,see_live_view,see_live_view,see_live_view,monthly,see_live_view,false,Council publication patterns vary; portal-specific adapters are required.,Prioritise target authorities and prove one stable adapter.,P2,landintel
planning_application_appeal_signals,Planning application appeal status signals,planning_appeals,planning_intelligence,Scotland,live_partial,live_complete,landintel.planning_appeal_records,landintel.planning_appeal_records,ingest-planning-appeals,true,manifest_or_endpoint,derived_from_live_planning_application_records,landintel.planning_appeal_records,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,false,"This is an appeal signal from planning records, not a full DPEA appeal document corpus.",Extract appeal-linked planning records and preserve source limitations.,P2,landintel
title_readiness_internal,Scottish title readiness workflow,title_control,title_control,Scotland,live_partial,live_complete,landintel.title_order_workflow,landintel.title_order_workflow,refresh-title-readiness,true,manifest_or_endpoint,derived_from_ros_parcel_and_title_candidates,landintel.title_order_workflow,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,true,Pre-title outputs are readiness and control signals only; legal ownership is not confirmed.,Refresh title readiness from RoS parcel and title candidate evidence.,P0,landintel
urgent_address_title_pack,Urgent site address and title candidate pack,title_control,title_control,Scotland,live_partial,live_complete,landintel.site_urgent_address_title_pack,landintel.site_urgent_address_title_pack,refresh-urgent-address-title-pack,true,manifest_or_endpoint,derived_from_prove_it_ldn_screen_os_places_and_ros_candidates,landintel.site_urgent_address_title_pack,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,true,Links urgent sites to address and RoS/ScotLIS title-number candidates only; legal ownership is not confirmed until manual title review.,Refresh whenever a site is marked order-title-urgent or true LDN candidate.,P0,landintel
scotland_parcel_use_spine,Scotland parcel use and address classification spine,address_property_base,address_property_base,Scotland,live_partial,live_complete,landintel.site_scotland_parcel_use_context,landintel.site_scotland_parcel_use_context,refresh-scotland-parcel-use-context,true,manifest_or_endpoint,derived_from_os_places_address_classification_and_ros_parcel_candidates,landintel.site_scotland_parcel_use_context,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,true,OS address classification is use context only. RoS parcel and title-number candidates do not confirm ownership before manual title review.,"Refresh Scotland parcel use context from OS Places/address classifications, RoS parcel candidates and service-anchor evidence.",P2,landintel
title_review_manual,Manual title review outcomes,title_control,title_control,Scotland,manual_only,manual_only,landintel.title_review_records,landintel.title_review_records,refresh-title-reviews,true,manifest_or_endpoint,manual_review_record,landintel.title_review_records,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,true,Confirmed ownership fields are allowed only after reviewed title evidence is recorded.,Record ordered and reviewed title outcomes through controlled review rows.,P0,landintel
companies_house_control_context,Companies House corporate control context,corporate_control,title_control,United Kingdom,live_partial,live_complete,landintel.corporate_owner_links,landintel.corporate_owner_links,ingest-companies-house,true,manifest_or_endpoint,api_key_required,landintel.corporate_owner_links,see_live_view,see_live_view,see_live_view,see_live_view,monthly,see_live_view,true,Corporate context is not legal ownership proof.,Enrich reviewed corporate proprietors and developer/applicant control signals.,P3,landintel
fca_entity_enrichment,FCA entity enrichment,corporate_control,title_control,United Kingdom,live_partial,live_complete,landintel.corporate_entity_enrichments,landintel.corporate_entity_enrichments,ingest-fca-entities,true,manifest_or_endpoint,api_key_or_endpoint_required,landintel.corporate_entity_enrichments,see_live_view,see_live_view,see_live_view,see_live_view,monthly,see_live_view,true,FCA context is corporate/regulatory evidence and is not land ownership proof.,Enrich matched corporate entities where FCA access is configured.,P3,landintel
companies_house_charges,Companies House charge and lending context,corporate_control,title_control,United Kingdom,live_partial,live_complete,landintel.corporate_charge_records,landintel.corporate_charge_records,ingest-companies-house,true,manifest_or_endpoint,companies_house_api,landintel.corporate_charge_records,see_live_view,see_live_view,see_live_view,see_live_view,monthly,see_live_view,true,Charge context is lending/control evidence and is not title ownership proof.,Refresh charge records for matched corporate entities.,P3,landintel
sp_energy_networks_assets,SP Energy Networks infrastructure,power_infrastructure,infrastructure,Scotland,blocked,live_complete,landintel.power_assets,landintel.power_assets,ingest-power-infrastructure,true,manifest_or_endpoint,source_discovery_required,landintel.power_assets,see_live_view,see_live_view,see_live_view,see_live_view,monthly,see_live_view,true,Published asset and capacity coverage must be confirmed before use.,Confirm open asset endpoints and DNO geography.,P1,landintel
ssen_assets,SSEN infrastructure,power_infrastructure,infrastructure,Scotland,blocked,live_complete,landintel.power_assets,landintel.power_assets,ingest-power-infrastructure,true,manifest_or_endpoint,source_discovery_required,landintel.power_assets,see_live_view,see_live_view,see_live_view,see_live_view,monthly,see_live_view,true,Published asset and capacity coverage must be confirmed before use.,Confirm open asset endpoints and DNO geography.,P1,landintel
national_grid_public_assets,National Grid public infrastructure context,power_infrastructure,infrastructure,Great Britain,blocked,live_complete,landintel.power_assets,landintel.power_assets,ingest-power-infrastructure,true,manifest_or_endpoint,source_discovery_required,landintel.power_assets,see_live_view,see_live_view,see_live_view,see_live_view,monthly,see_live_view,true,Capacity must not be inferred unless source explicitly publishes it.,Register confirmed transmission and capacity datasets only.,P1,landintel
osm_power_context,OpenStreetMap power features,power_infrastructure,infrastructure,Scotland,blocked,live_complete,landintel.power_assets,landintel.power_assets,ingest-power-infrastructure,true,manifest_or_endpoint,contextual_osm_extract,landintel.power_assets,see_live_view,see_live_view,see_live_view,see_live_view,monthly,see_live_view,true,OSM can provide context only and must not evidence capacity.,Wire as contextual layer after licensing and attribution are confirmed.,P1,landintel
terrain_abnormal_context,Terrain and abnormal-risk derived context,terrain_abnormal,ground_abnormals,Scotland,live_partial,live_complete,landintel.site_ground_risk_context,landintel.site_ground_risk_context,refresh-site-abnormal-risk,true,manifest_or_endpoint,derived_from_existing_constraints_bgs_and_flood,landintel.site_ground_risk_context,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,false,Desktop abnormal-risk context is not engineering certainty.,"Refresh context from measured constraints, flood, coal and BGS proximity.",P2,landintel
os_terrain_context,OS Terrain context,terrain_abnormal,ground_abnormals,Scotland,blocked,live_complete,landintel.site_terrain_metrics,landintel.site_terrain_metrics,refresh-site-abnormal-risk,true,manifest_or_endpoint,terrain_asset_required,landintel.site_terrain_metrics,see_live_view,see_live_view,see_live_view,see_live_view,quarterly,see_live_view,false,Terrain source licensing and asset path must be confirmed before slope metrics.,Attach OS Terrain asset or confirmed open terrain source.,P2,landintel
ros_market_statistics,Registers of Scotland market statistics,market_context,market_evidence,Scotland,blocked,live_complete,landintel.market_area_metrics,landintel.market_area_metrics,ingest-market-context,true,manifest_or_endpoint,source_discovery_required,landintel.market_area_metrics,see_live_view,see_live_view,see_live_view,see_live_view,monthly,see_live_view,true,Market outputs are evidence context only; no unsupported pricing claims.,Confirm machine-readable RoS statistics endpoint or controlled asset.,P1,landintel
uk_hpi_market_context,UK House Price Index local market context,market_context,market_evidence,Scotland,live_partial,live_complete,landintel.market_area_metrics,landintel.market_area_metrics,ingest-market-context,true,manifest_or_endpoint,public_dataset_adapter_required,landintel.market_area_metrics,see_live_view,see_live_view,see_live_view,see_live_view,monthly,see_live_view,true,HPI supports area context only and does not prove site value.,Add adapter for local authority HPI series.,P1,landintel
naptan_public_transport,NaPTAN public transport access,amenities,location_strength,Scotland,live_partial,live_complete,landintel.amenity_assets,landintel.amenity_assets,ingest-amenities,true,manifest_or_endpoint,public_dataset_adapter_required,landintel.amenity_assets,see_live_view,see_live_view,see_live_view,see_live_view,monthly,see_live_view,true,"Transport proximity is location evidence, not demand certainty.",Add bounded Scotland extract and nearest-asset context.,P1,landintel
os_places_amenity_context,OS Places and Features amenity context,amenities,location_strength,Scotland,live_partial,live_complete,landintel.site_amenity_context,landintel.site_amenity_context,ingest-amenities,true,manifest_or_endpoint,derived_from_ingested_os_places_features,landintel.site_amenity_context,see_live_view,see_live_view,see_live_view,see_live_view,monthly,see_live_view,true,OS-derived amenity context is proximity evidence only.,Refresh nearest-asset context when OS Places or OS Features rows exist.,P1,landintel
scottish_schools_amenities,Scottish schools and education amenities,amenities,location_strength,Scotland,blocked,live_complete,landintel.amenity_assets,landintel.amenity_assets,ingest-amenities,true,manifest_or_endpoint,source_discovery_required,landintel.amenity_assets,see_live_view,see_live_view,see_live_view,see_live_view,quarterly,see_live_view,true,Education dataset access and update cadence must be confirmed.,Confirm national or authority school source.,P1,landintel
nhs_scotland_amenities,NHS Scotland health amenities,amenities,location_strength,Scotland,blocked,live_complete,landintel.amenity_assets,landintel.amenity_assets,ingest-amenities,true,manifest_or_endpoint,source_discovery_required,landintel.amenity_assets,see_live_view,see_live_view,see_live_view,see_live_view,quarterly,see_live_view,true,Health facility source must be confirmed before proximity facts.,Confirm NHS or Public Health Scotland facility dataset.,P1,landintel
statistics_gov_scot_demographics,statistics.gov.scot demographic context,demographics,demand_context,Scotland,live_partial,live_complete,landintel.demographic_area_metrics,landintel.demographic_area_metrics,ingest-demographics,true,manifest_or_endpoint,public_dataset_adapter_required,landintel.demographic_area_metrics,see_live_view,see_live_view,see_live_view,see_live_view,quarterly,see_live_view,true,Demographics are contextual and must not be presented as buyer demand certainty.,"Add datasets for population, households, tenure and geography matching.",P1,landintel
simd_demographic_context,SIMD local context,demographics,demand_context,Scotland,live_partial,live_complete,landintel.demographic_area_metrics,landintel.demographic_area_metrics,ingest-demographics,true,manifest_or_endpoint,public_dataset_adapter_required,landintel.demographic_area_metrics,see_live_view,see_live_view,see_live_view,see_live_view,annual,see_live_view,true,SIMD is context only and must not drive automatic site decisions.,Add datazone matching to canonical sites.,P1,landintel
council_planning_documents,Council planning document records,planning_documents,planning_documents,Scotland,blocked,live_complete,landintel.planning_document_records,landintel.planning_document_records,ingest-planning-documents,true,manifest_or_endpoint,portal_document_adapter_required,landintel.planning_document_records,see_live_view,see_live_view,see_live_view,see_live_view,weekly,see_live_view,false,Document scraping requires authority-specific adapters and source URLs.,Wire stable document-page adapters for priority authorities.,P2,landintel
section75_records,Section 75 obligation records,planning_documents,planning_documents,Scotland,blocked,live_complete,landintel.section75_obligation_records,landintel.section75_obligation_records,ingest-planning-documents,true,manifest_or_endpoint,document_extraction_required,landintel.section75_obligation_records,see_live_view,see_live_view,see_live_view,see_live_view,weekly,see_live_view,false,Obligations must be extracted from source documents with references preserved.,Parse only documents with stable source URL and application reference.,P2,landintel
council_agenda_intelligence,Council agendas and meeting papers,local_intelligence,local_intelligence,Scotland,blocked,live_complete,landintel.intelligence_event_records,landintel.intelligence_event_records,ingest-intelligence-events,true,manifest_or_endpoint,authority_feed_or_document_adapter_required,landintel.intelligence_event_records,see_live_view,see_live_view,see_live_view,see_live_view,weekly,see_live_view,false,"Local intelligence must preserve source URL, date and event confidence.",Start with priority council committee feeds.,P2,landintel
local_press_intelligence,Local press and development announcements,local_intelligence,local_intelligence,Scotland,blocked,live_complete,landintel.intelligence_event_records,landintel.intelligence_event_records,ingest-intelligence-events,true,manifest_or_endpoint,source_discovery_required,landintel.intelligence_event_records,see_live_view,see_live_view,see_live_view,see_live_view,weekly,see_live_view,false,"News ingestion requires source rights, deduplication and attribution control.",Register approved sources before ingest.,P2,landintel
os_open_zoomstack,OS Open Zoomstack,base_geometry,base_geometry,Great Britain,live_partial,live_complete,landintel.source_estate_registry,landintel.source_estate_registry,ingest-os-open-zoomstack,true,manifest_or_endpoint,os_downloads_metadata_then_bulk_adapter,landintel.source_estate_registry,see_live_view,see_live_view,see_live_view,see_live_view,quarterly,see_live_view,false,Product metadata is accessible; bulk vector features have not yet landed.,"Use OS Downloads proof, then add a bounded bulk vector adapter for base geometry context.",P3,landintel
os_open_toid,OS Open TOID,address_property_base,address_context,Great Britain,live_partial,live_complete,public.land_object_toid_enrichment,public.land_object_toid_enrichment,ingest-os-open-toid,true,manifest_or_endpoint,os_downloads_metadata_then_identifier_adapter,public.land_object_toid_enrichment,see_live_view,see_live_view,see_live_view,see_live_view,quarterly,see_live_view,true,TOID metadata is accessible; site-to-TOID enrichment has not yet landed.,Add controlled identifier matching after Open UPRN and Open USRN context is stable.,P2,public_legacy_compatibility
os_open_built_up_areas,OS Open Built Up Areas,settlement_context,settlement_context,Great Britain,live_partial,live_complete,landintel.source_estate_registry,landintel.source_estate_registry,ingest-os-open-built-up-areas,true,manifest_or_endpoint,os_downloads_metadata_then_boundary_adapter,landintel.source_estate_registry,see_live_view,see_live_view,see_live_view,see_live_view,annual,see_live_view,false,Built-up area product metadata is accessible; settlement context polygons have not yet landed.,Add bulk polygon adapter and compare with live settlement boundary evidence.,P3,landintel
overture_buildings_open,Overture Maps buildings,address_property_base,property_base_layer,Global,live_partial,live_complete,landintel.source_estate_registry,landintel.source_estate_registry,,false,manifest_or_endpoint,overture_geoparquet_adapter_required,landintel.source_estate_registry,see_live_view,see_live_view,see_live_view,see_live_view,quarterly,see_live_view,true,Open release is accessible; Scotland clip and building linkage adapter has not yet landed.,Add bounded GeoParquet release adapter before generating building footprint facts.,P2,landintel
overture_places_open,Overture Maps places,amenities,location_strength,Global,live_partial,live_complete,landintel.amenity_assets,landintel.amenity_assets,,false,manifest_or_endpoint,overture_geoparquet_adapter_required,landintel.amenity_assets,see_live_view,see_live_view,see_live_view,see_live_view,quarterly,see_live_view,true,Open release is accessible; place assets have not yet landed.,Add Scotland clipped places adapter and keep Overture as contextual location evidence.,P1,landintel
overture_transportation_open,Overture Maps transportation,access_context,access_context,Global,live_partial,live_complete,landintel.source_estate_registry,landintel.source_estate_registry,,false,manifest_or_endpoint,overture_geoparquet_adapter_required,landintel.source_estate_registry,see_live_view,see_live_view,see_live_view,see_live_view,quarterly,see_live_view,false,Open release is accessible; transport network context has not yet landed.,Add Scotland clip only after OS Open Roads and OSM access context are stable.,P3,landintel
overture_base_open,Overture Maps base,base_geometry,base_geometry,Global,live_partial,live_complete,landintel.source_estate_registry,landintel.source_estate_registry,,false,manifest_or_endpoint,overture_geoparquet_adapter_required,landintel.source_estate_registry,see_live_view,see_live_view,see_live_view,see_live_view,quarterly,see_live_view,false,Open release is accessible; base feature assets have not yet landed.,Use as contextual enrichment only after official OS open base layers are proven.,P3,landintel
geolytix_supermarket_points,Geolytix supermarket retail points,amenities,location_strength,United Kingdom,live_partial,live_complete,landintel.amenity_assets,landintel.amenity_assets,,false,manifest_or_endpoint,controlled_file_download_required,landintel.amenity_assets,see_live_view,see_live_view,see_live_view,see_live_view,quarterly,see_live_view,true,Open file source is identified; controlled download and attribution check has not yet landed.,"Add file-backed adapter, deduplicate against OSM retail amenities and generate proximity context.",P1,landintel
